datetime,close,high,low,open,vol,obv,rsi,atr,macd
2024-02-14 14:25:00,496.69000,496.78159,496.26001,496.28500,926427,185773677.00000,57.16617,0.49779,0.08356
2024-02-14 14:20:00,496.29999,496.35001,495.76999,495.76999,406563,184847250.00000,52.88979,0.49597,0.04137
2024-02-14 14:15:00,495.78000,496.10800,495.76001,495.81000,534271,184440687.00000,46.24576,0.48950,0.02662
2024-02-14 14:10:00,495.82001,495.95999,495.37000,495.42001,694916,184974958.00000,46.71648,0.50038,0.06035
2024-02-14 14:05:00,495.41501,496.04761,495.22000,496.04761,1133616,184280042.00000,41.07914,0.49349,0.09845
2024-02-14 14:00:00,496.04001,496.62000,496.03500,496.57999,486860,185413658.00000,48.42001,0.46779,0.18688
2024-02-14 13:55:00,496.57010,496.82999,496.16000,496.79999,520169,185900518.00000,56.35069,0.45877,0.23340
2024-02-14 13:50:00,496.78500,496.89001,496.72000,496.79501,348125,186420687.00000,60.05353,0.44253,0.23541
2024-02-14 13:45:00,496.79001,496.87991,496.59000,496.59000,341029,186768812.00000,60.13899,0.46349,0.21267
2024-02-14 13:40:00,496.59000,497.14001,496.56000,496.95001,741050,186427783.00000,57.91668,0.47684,0.18004
2024-02-14 13:35:00,496.95599,497.03500,496.45001,496.45999,1098498,187168833.00000,63.97734,0.46891,0.15614
2024-02-14 13:30:00,496.45999,496.56000,495.87000,495.95001,424051,186070335.00000,58.51428,0.45998,0.08609
2024-02-14 13:25:00,495.95001,495.95001,495.66000,495.73001,268173,185646284.00000,51.49050,0.44228,0.04594
2024-02-14 13:20:00,495.70999,496.04001,495.59000,495.72000,239810,185378111.00000,47.61440,0.45400,0.04595
2024-02-14 13:15:00,495.71500,495.95999,495.54999,495.64499,518635,185617921.00000,47.68818,0.45430,0.06974
2024-02-14 13:10:00,495.64929,496.04999,495.42001,496.03000,818521,185099286.00000,46.68102,0.45771,0.09857
2024-02-14 13:05:00,496.03500,496.50500,496.01999,496.45999,735323,185917807.00000,52.15466,0.44446,0.14063
2024-02-14 13:00:00,496.45999,496.57001,496.01999,496.14999,495067,186653130.00000,59.26449,0.44134,0.15299
2024-02-14 12:55:00,496.20001,496.32999,496.07999,496.19000,270501,186158063.00000,55.84532,0.43298,0.12327
2024-02-14 12:50:00,496.17999,496.28000,496.11499,496.23999,290071,185887562.00000,55.57872,0.44705,0.11001
2024-02-14 12:45:00,496.25000,496.31000,496.06000,496.17001,230373,186177633.00000,56.69021,0.46875,0.09353
2024-02-14 12:40:00,496.16000,496.23001,495.83990,495.94000,503248,185947260.00000,55.63102,0.48558,0.06401
2024-02-14 12:35:00,495.95001,496.19000,495.84500,496.17499,470883,185444012.00000,53.14844,0.49292,0.03456
2024-02-14 12:30:00,496.17749,496.20001,495.95999,496.03000,425611,185914895.00000,56.31819,0.50430,0.01785
2024-02-14 12:25:00,496.00000,496.04001,495.57999,495.62000,412564,185489284.00000,54.34546,0.52463,-0.02690
2024-02-14 12:20:00,495.62000,495.70999,495.32501,495.48001,472736,185076720.00000,49.84208,0.52960,-0.06555
2024-02-14 12:15:00,495.48999,495.63000,495.25031,495.32999,359334,184603984.00000,48.21950,0.54072,-0.07524
2024-02-14 12:10:00,495.34000,495.43500,495.03000,495.03000,386322,184244650.00000,46.36049,0.55311,-0.07328
2024-02-14 12:05:00,495.02371,495.13000,494.39999,494.76999,1260438,183858328.00000,42.30471,0.56402,-0.05444
2024-02-14 12:00:00,494.79001,495.39001,494.67999,495.35001,926135,182597890.00000,39.14775,0.55125,0.00260
2024-02-14 11:55:00,495.33600,495.89001,495.33600,495.88000,731679,183524025.00000,44.42063,0.53904,0.09917
2024-02-14 11:50:00,495.87500,496.06000,495.64999,495.81000,654774,184255704.00000,50.67784,0.53788,0.16539
2024-02-14 11:45:00,495.81000,495.89499,495.50000,495.73999,514131,183600930.00000,49.88734,0.54772,0.19262
2024-02-14 11:40:00,495.57001,496.32999,495.41000,496.25989,692460,183086799.00000,46.97377,0.55947,0.23120
2024-02-14 11:35:00,496.22601,496.27499,496.10999,496.14001,311267,183779259.00000,55.10594,0.53174,0.30151
2024-02-14 11:30:00,496.13000,496.32999,496.10999,496.23999,410674,183467992.00000,54.02426,0.55995,0.32008
2024-02-14 11:25:00,496.23001,496.32999,496.01001,496.27499,506933,183878666.00000,55.31331,0.58610,0.34889
2024-02-14 11:20:00,496.28000,496.28000,495.44000,495.70499,683766,184385599.00000,55.93275,0.60657,0.37041
2024-02-14 11:15:00,495.69000,495.82001,495.35999,495.60999,659691,183701833.00000,49.76743,0.58861,0.38740
2024-02-14 11:10:00,495.60001,496.07999,495.57999,495.64999,589210,183042142.00000,48.75186,0.59850,0.46353
2024-02-14 11:05:00,495.64999,495.92999,495.38000,495.42001,705793,183631352.00000,49.26557,0.60608,0.56311
2024-02-14 11:00:00,495.39999,495.95001,495.14999,495.95001,1451942,182925559.00000,46.65513,0.61040,0.67693
2024-02-14 10:55:00,495.95499,496.50000,495.94000,496.39999,587092,184377501.00000,52.19077,0.59543,0.83782
2024-02-14 10:50:00,496.39999,497.13000,496.29001,497.02991,751313,184964593.00000,57.24815,0.59815,0.97448
2024-02-14 10:45:00,497.01999,497.10999,496.76999,496.89999,544359,185715906.00000,65.45359,0.57955,1.08942
2024-02-14 10:40:00,496.91000,497.35001,496.76001,497.32999,811341,185171547.00000,64.61821,0.59798,1.15715
2024-02-14 10:35:00,497.32001,497.67999,497.23001,497.64990,619081,185982888.00000,70.52113,0.59859,1.23797
2024-02-14 10:30:00,497.64999,497.91000,497.51999,497.72000,622392,186601969.00000,75.68844,0.61002,1.28138
2024-02-14 10:25:00,497.70999,497.98999,497.54001,497.83029,1220287,187224361.00000,76.63650,0.62694,1.28454
2024-02-14 10:20:00,497.82999,497.89001,497.35001,497.37000,1067633,188444648.00000,78.46168,0.64056,1.26378
2024-02-14 10:15:00,497.38010,497.42001,496.73001,496.78400,736842,187377015.00000,76.51439,0.64829,1.20668
2024-02-14 10:10:00,496.78000,497.00009,496.67999,496.79001,575926,186640173.00000,73.55276,0.64508,1.16206
2024-02-14 10:05:00,496.76999,497.04999,496.57001,496.76001,668338,186064247.00000,73.50100,0.67008,1.14931
